,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,inside_outside_city_limits_code_y_n,tabc_permit_number,responsibility_begin_date_yyyymmdd,responsibility_end_date_yyyymmdd,obligation_end_date_yyyymmdd,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts
26,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2019-01-31T00:00:00.000,0,0,0,0,0
27,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2015-06-30T00:00:00.000,2254,5,5569,0,7828
28,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2018-06-30T00:00:00.000,0,0,0,0,0
29,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2015-03-31T00:00:00.000,2376,57,7313,0,9746
30,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2015-09-30T00:00:00.000,1063,40,5099,0,6202
31,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2018-11-30T00:00:00.000,0,0,0,0,0
32,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2016-10-31T00:00:00.000,2325,25,7280,0,9630
33,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2014-10-31T00:00:00.000,3320,40,5320,0,8680
34,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2018-09-30T00:00:00.000,0,0,0,0,0
35,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2013-08-31T00:00:00.000,1869,51,4947,0,6867
36,32047970895,HONDURAS MAYA CAFE & BAR LLC,8011 HAZEN ST,HOUSTON,TX,77036,101,1,HONDURAS MAYA CAFE & BAR LLC,5945 BELLAIRE BLVD STE B,HOUSTON,TX,77081,101,Y,MB817033,2012-08-16T00:00:00.000,2019-09-12T00:00:00.000,2015-05-31T00:00:00.000,2035,29,7653,0,9717
